Count,Height,Width
1,4.330708661,23.42519685
1,5.905511811,2.952755906
1,6.88976378,15.5511811
1,5.511811024,19.48818898
1,6.88976378,17.51968504
1,6.88976378,23.42519685
2,7.874015748,3.937007874
3,9.842519685,4.921259843
1,11.81102362,5.905511811
2,13.77952756,6.88976378
3,15.7480315,7.874015748
1,17.71653543,8.858267717
2,19.68503937,9.842519685
3,21.65354331,10.82677165
1,23.62204724,11.81102362
2,25.59055118,12.79527559
3,27.55905512,13.77952756
1,29.52755906,14.76377953
2,31.49606299,15.7480315
3,33.46456693,16.73228346
1,35.43307087,17.71653543
2,37.4015748,18.7007874
3,39.37007874,19.68503937
1,41.33858268,20.66929134
2,43.30708661,21.65354331
3,45.27559055,22.63779528
1,47.24409449,23.62204724
2,49.21259843,24.60629921
3,51.18110236,25.59055118
1,53.1496063,26.57480315
2,55.11811024,27.55905512
3,57.08661417,28.54330709
1,59.05511811,29.52755906
2,61.02362205,30.51181102
3,62.99212598,31.49606299
1,64.96062992,32.48031496
2,66.92913386,33.46456693
3,68.8976378,34.4488189
1,70.86614173,35.43307087
2,72.83464567,36.41732283
3,74.80314961,37.4015748
1,76.77165354,38.38582677
2,78.74015748,39.37007874
3,80.70866142,40.35433071
1,82.67716535,41.33858268
2,84.64566929,42.32283465
3,86.61417323,43.30708661
1,88.58267717,44.29133858
2,90.5511811,45.27559055
3,92.51968504,46.25984252
1,94.48818898,47.24409449
2,96.45669291,48.22834646
3,98.42519685,49.21259843
1,100.3937008,50.19685039
